Team,Player,Base_Price_Cr,Winning_Bid_Cr,Capped_Status,Price_Multiplier
CSK,Kartik Sharma,0.3,14.2,Uncapped,47.33
CSK,Prashant Veer,0.3,14.2,Uncapped,47.33
CSK,Rahul Chahar,1,5.2,Capped,5.2
CSK,Matt Henry,2,2,Capped,1
CSK,Akeal Hosein,2,2,Capped,1
CSK,Matthew Short,1.5,1.5,Capped,1
CSK,Zak Foulkes,0.75,0.75,Capped,1
CSK,Sarfaraz Khan,0.75,0.75,Capped,1
CSK,Aman Khan,0.3,0.4,Uncapped,1.33
DC,Auqib Dar,0.3,8.4,Uncapped,28
DC,Pathum Nissanka,0.75,4,Capped,5.33
DC,Kyle Jamieson,2,2,Capped,1
DC,Lungisani Ngidi,2,2,Capped,1
DC,Ben Duckett,2,2,Capped,1
DC,David Miller,2,2,Capped,1
DC,Prithvi Shaw,0.75,0.75,Capped,1
DC,Sahil Parakh,0.3,0.3,Uncapped,1
GT,Jason Holder,2,7,Capped,3.5
GT,Tom Banton,2,2,Capped,1
GT,Ashok Sharma,0.3,0.9,Uncapped,3
GT,Luke Wood,0.75,0.75,Capped,1
GT,Prithviraj Yarra,0.3,0.3,Uncapped,1
KKR,Cameron Green,2,25.2,Capped,12.6
KKR,Matheesha Pathirana,2,18,Capped,9
KKR,Mustafizur Rahman,2,9.2,Capped,4.6
KKR,Tejasvi Singh,0.3,3,Uncapped,10
KKR,Rachin Ravindra,2,2,Capped,1
KKR,Finn Allen,2,2,Capped,1
KKR,Tim Seifert,1.5,1.5,Capped,1
KKR,Akash Deep,1,1,Capped,1
KKR,Rahul Tripathi,0.75,0.75,Capped,1
KKR,Daksh Kamra,0.3,0.3,Uncapped,1
KKR,Sarthak Ranjan,0.3,0.3,Uncapped,1
KKR,Prashant Solanki,0.3,0.3,Uncapped,1
KKR,Kartik Tyagi,0.3,0.3,Uncapped,1
LSG,Josh Inglis,2,8.6,Capped,4.3
LSG,Mukul Choudhary,0.3,2.6,Uncapped,8.67
LSG,Akshat Raghuwanshi,0.3,2.2,Uncapped,7.33
LSG,Anrich Nortje,2,2,Capped,1
LSG,Wanindu Hasaranga,2,2,Capped,1
LSG,Naman Tiwari,0.3,1,Uncapped,3.33
MI,Quinton De Kock,1,1,Capped,1
MI,Mayank Rawat,0.3,0.3,Uncapped,1
MI,Atharva Ankolekar,0.3,0.3,Uncapped,1
MI,Mohammad Izhar,0.3,0.3,Uncapped,1
MI,Danish Malewar,0.3,0.3,Uncapped,1
PBKS,Ben Dwarshuis,1,4.4,Capped,4.4
PBKS,Cooper Connolly,2,3,Capped,1.5
PBKS,Vishal Nishad,0.3,0.3,Uncapped,1
PBKS,Pravin Dubey,0.3,0.3,Uncapped,1
RR,Ravi Bishnoi,2,7.2,Capped,3.6
RR,Adam Milne,2,2.4,Capped,1.2
RR,Ravi Singh,0.3,0.95,Uncapped,3.17
RR,Sushant Mishra,0.3,0.9,Uncapped,3
RR,Kuldeep Sen,0.75,0.75,Capped,1
RR,Brijesh Sharma,0.3,0.3,Uncapped,1
RR,Aman Rao Perala,0.3,0.3,Uncapped,1
RR,Vignesh Puthur,0.3,0.3,Uncapped,1
RR,Yash Raj Punja,0.3,0.3,Uncapped,1
RCB,Venkatesh Iyer,2,7,Capped,3.5
RCB,Mangesh Yadav,0.3,5.2,Uncapped,17.33
RCB,Jacob Duffy,2,2,Capped,1
RCB,Jordan Cox,0.75,0.75,Capped,1
RCB,Kanishk Chouhan,0.3,0.3,Uncapped,1
RCB,Vihaan Malhotra,0.3,0.3,Uncapped,1
RCB,Vicky Ostwal,0.3,0.3,Uncapped,1
RCB,Satvik Deswal,0.3,0.3,Uncapped,1
SRH,Liam Livingstone,2,13,Capped,6.5
SRH,Jack Edwards,0.5,3,Uncapped,6
SRH,Salil Arora,0.3,1.5,Uncapped,5
SRH,Shivam Mavi,0.75,0.75,Capped,1
SRH,Krains Fuletra,0.3,0.3,Uncapped,1
SRH,Praful Hinge,0.3,0.3,Uncapped,1
SRH,Amit Kumar,0.3,0.3,Uncapped,1
SRH,Onkar Tarmale,0.3,0.3,Uncapped,1
SRH,Sakib Hussain,0.3,0.3,Uncapped,1
SRH,Shivang Kumar,0.3,0.3,Uncapped,1
